variable_1,variable_2,rho_spearman
anchor_age,peso_kg,-0.17436680372288202
ventilacion_invasiva_12h,sofa_max,0.17281968682610788
gcs_min,bicarbonato_min,0.1681028183726792
anchor_age,gpt_max,-0.16763629424679194
fio2_max,rr_max,0.16397593513999176
bicarbonato_min,temp_min,0.16258660404876885
anchor_age,temp_min,-0.15876799348108536
hr_media,lactato_max,0.15863888055953473
diuresis_ml_kg_12h,ph_min,0.15355318278309
diuresis_ml_kg_12h,tp_max,-0.1525038870940783
pf_min,ventilacion_invasiva_12h,0.15121607468412393
bicarbonato_min,gpt_max,-0.14672224040504475
gpt_max,tp_max,0.14294370454459307
anchor_age,creatinina_max,0.1416984756375744
pf_min,lactato_max,-0.14138724098568675
pf_min,creatinina_max,-0.1403170400387846
hr_media,spo2_min,-0.13759555715307767
fio2_max,lactato_max,0.13708475685499666
peso_kg,glucemia_min,0.1357575010589689
leucocitos_min,hemoglobina_min,0.13560771259925886
pf_min,sofa_max,-0.13556935660422573
gcs_min,plaquetas_min,0.13482825570021817
creatinina_max,hemoglobina_min,-0.13030609897439088
diuresis_ml_kg_12h,bilirrubina_media,-0.12850687762837096
peso_kg,hemoglobina_min,0.1271044188989795
creatinina_max,plaquetas_min,-0.12465293160366883
temp_min,sofa_max,-0.12395737173874603
peso_kg,sofa_max,0.12362784051433964
spo2_min,plaquetas_min,-0.12312295630492336
ph_min,gpt_max,-0.12250033956110519
bicarbonato_min,plaquetas_min,0.12238118587655275
tp_max,temp_min,-0.1220423336070683
peso_kg,temp_min,0.11948507895982528
rr_max,leucocitos_min,0.11926916320065101
gcs_min,diuresis_ml_kg_12h,0.11656079280839103
gpt_max,glucemia_min,0.11617886986418892
fio2_max,temp_min,-0.11476524788583295
diuresis_ml_kg_12h,lactato_max,-0.11421320497105415
creatinina_max,glucemia_min,0.11395680650927162
spo2_min,bicarbonato_min,-0.11356924698509782
gcs_min,gpt_max,-0.11087826980713872
peso_kg,spo2_min,-0.11045178457686587
anchor_age,diuresis_ml_kg_12h,-0.10926290435479655
anchor_age,glucemia_min,0.10882939681007538
rr_max,plaquetas_min,0.10858750335160303
bicarbonato_min,tp_max,-0.10772259589591313
diuresis_ml_kg_12h,bicarbonato_min,0.1067633081852677
leucocitos_min,sofa_max,-0.10641917646439962
gender,hemoglobina_min,0.10639282365677118
hr_media,leucocitos_min,0.10631228843955608
hr_media,bilirrubina_media,0.10566429386906272
creatinina_max,gpt_max,0.10421497838207514
rr_max,temp_min,0.1036067262159946
leucocitos_min,glucemia_min,0.10260116345802633
contador_estancia_uci,bicarbonato_min,0.10228173945912036
hr_media,pf_min,-0.10217490310948182
map_min,ph_min,0.10215948005040923
gender,bilirrubina_media,0.10214633791126483
map_min,tp_max,-0.10096853327474621
anchor_age,gcs_min,0.1001349043604505
bilirrubina_media,leucocitos_min,-0.09922047509095398
ventilacion_invasiva_12h,lactato_max,0.09886141265343129
contador_estancia_uci,gpt_max,-0.09790630070099683
fio2_max,tp_max,0.09575526792157871
creatinina_max,temp_min,-0.09490092803931438
hr_media,ventilacion_invasiva_12h,-0.09446441198850658
anchor_age,ventilacion_invasiva_12h,-0.09223050237434839
hr_media,tp_max,0.09117798583670367
diuresis_ml_kg_12h,plaquetas_min,0.09090622349980551
hr_media,gpt_max,0.09069325068397217
bicarbonato_min,leucocitos_min,-0.0905805138507391
ph_min,glucemia_min,-0.09046755247844822
map_min,diuresis_ml_kg_12h,0.0896804506613149
gpt_max,hemoglobina_min,0.08962953129751142
hemoglobina_min,temp_min,0.08960052741054064
spo2_min,leucocitos_min,-0.08928310101642568
contador_estancia_uci,gcs_min,0.08893994482195178
peso_kg,bilirrubina_media,0.08865039452264291
spo2_min,hemoglobina_min,-0.08832570430274281
bilirrubina_media,hemoglobina_min,-0.08733364148933984
peso_kg,fio2_max,0.08698089461755955
map_min,hr_media,0.08666823800061646
gcs_min,glucemia_min,-0.08644418163149938
spo2_min,creatinina_max,-0.08613535211852207
gender,plaquetas_min,-0.08610867157174859
ventilacion_invasiva_12h,bicarbonato_min,-0.08533894058269899
plaquetas_min,temp_min,0.08406210716296186
contador_estancia_uci,tp_max,0.0834571882292263
bicarbonato_min,bilirrubina_media,-0.08336431306271673
anchor_age,bilirrubina_media,-0.08310675553838823
hr_media,gcs_min,0.08285099628685343
fio2_max,creatinina_max,0.0825848503953875
pf_min,diuresis_ml_kg_12h,0.08234710054261307
pf_min,gcs_min,-0.08220316829699495
map_min,ventilacion_invasiva_12h,-0.08215474403986812
peso_kg,pf_min,-0.08184868435682907
hr_media,bicarbonato_min,-0.0805596976939202
gcs_min,bilirrubina_media,-0.07903157569998143
diuresis_ml_kg_12h,hemoglobina_min,0.07879838422258774
map_min,creatinina_max,-0.07836753739044239
ventilacion_invasiva_12h,gpt_max,0.07761441169859096
peso_kg,bicarbonato_min,0.07720058619900275
map_min,temp_min,0.07678196101400975
hr_media,fio2_max,0.07664660493859597
gcs_min,creatinina_max,-0.0758843223019631
creatinina_max,bilirrubina_media,0.0758116332720656
contador_estancia_uci,ventilacion_invasiva_12h,-0.0755655612317595
anchor_age,spo2_min,-0.07534637809911009
gcs_min,temp_min,0.07497133390517792
spo2_min,sofa_max,-0.07379555298441963
gender,sofa_max,0.07279232799663561
ph_min,plaquetas_min,0.07255507818419052
hr_media,ph_min,-0.07239139544499662
map_min,gpt_max,0.07158667514640889
contador_estancia_uci,pf_min,-0.06954563785569795
glucemia_min,sofa_max,0.0693912970013622
anchor_age,plaquetas_min,0.06666744333819018
contador_estancia_uci,creatinina_max,0.0650597242799151
spo2_min,bilirrubina_media,0.06457289860654296
ventilacion_invasiva_12h,diuresis_ml_kg_12h,-0.06440006596632389
ventilacion_invasiva_12h,plaquetas_min,-0.06433332565401412
peso_kg,gpt_max,0.06328311986984028
pf_min,tp_max,-0.05997103442378823
ph_min,leucocitos_min,-0.05987379948080763
gcs_min,tp_max,-0.05908506510255103
contador_estancia_uci,diuresis_ml_kg_12h,-0.05869372052117541
bicarbonato_min,glucemia_min,-0.05845100387509648
peso_kg,contador_estancia_uci,-0.058034972953052245
contador_estancia_uci,spo2_min,-0.05697680917645103
lactato_max,leucocitos_min,0.056081332730031005
map_min,lactato_max,-0.05589689394105655
spo2_min,lactato_max,0.05531852719840402
map_min,spo2_min,0.05436068416516582
gender,leucocitos_min,-0.054245473924639825
diuresis_ml_kg_12h,glucemia_min,-0.054144875023947006
rr_max,creatinina_max,0.05374976603752212
rr_max,bicarbonato_min,-0.05367701968762633
fio2_max,gpt_max,0.053425633319083676
hr_media,diuresis_ml_kg_12h,0.052759013993028014
peso_kg,rr_max,0.05251910218900329
fio2_max,diuresis_ml_kg_12h,-0.05181521603746469
anchor_age,gender,-0.05165888724424864
spo2_min,ph_min,0.05153382471470838
fio2_max,glucemia_min,0.05094179464441078
hr_media,sofa_max,0.049894069598592314
gender,tp_max,0.04891950114751697
peso_kg,ph_min,-0.048872367618361154
diuresis_ml_kg_12h,temp_min,0.04868834042445171
peso_kg,map_min,0.04799011845145673
contador_estancia_uci,plaquetas_min,0.04796767053695821
gender,hr_media,-0.04659576724745842
contador_estancia_uci,map_min,-0.046469461468963136
rr_max,bilirrubina_media,-0.04640898288346641
fio2_max,bilirrubina_media,0.04637343020148873
gender,gpt_max,0.046309918541528404
anchor_age,hemoglobina_min,-0.0451721314662722
anchor_age,ph_min,0.04389063140414184
contador_estancia_uci,bilirrubina_media,-0.04388704882397982
spo2_min,temp_min,-0.041712361602863346
ph_min,bilirrubina_media,0.040903637781031704
gender,gcs_min,-0.040209359339369005
contador_estancia_uci,leucocitos_min,-0.04006902987707691
contador_estancia_uci,lactato_max,-0.03970019171942104
gender,fio2_max,0.039662451695236134
gender,temp_min,0.039135814636472185
leucocitos_min,temp_min,0.038845882547447606
anchor_age,leucocitos_min,0.03741300618380961
gender,map_min,0.03719490348059247
peso_kg,gcs_min,-0.036869259890804126
bicarbonato_min,hemoglobina_min,0.03582450044653749
ph_min,tp_max,-0.03552480413974283
rr_max,lactato_max,0.03544848611710663
contador_estancia_uci,rr_max,0.03522724125771685
fio2_max,leucocitos_min,0.034631318325681434
ventilacion_invasiva_12h,temp_min,-0.03439274790032866
map_min,gcs_min,0.03397964141905585
creatinina_max,leucocitos_min,0.0332891233404906
ventilacion_invasiva_12h,leucocitos_min,-0.03310652671769252
peso_kg,tp_max,0.0329466797266906
contador_estancia_uci,sofa_max,0.03291986416269829
spo2_min,glucemia_min,0.032805593453618706
fio2_max,bicarbonato_min,-0.03218382358554442
pf_min,leucocitos_min,-0.03196306475422254
map_min,fio2_max,-0.03194127064861208
anchor_age,tp_max,0.031172831396644153
fio2_max,gcs_min,-0.030863830808381752
gender,pf_min,-0.0306344993288884
rr_max,tp_max,0.030298421108588294
gender,lactato_max,0.030214396912115367
lactato_max,hemoglobina_min,-0.03010370019609292
spo2_min,gpt_max,0.03001066618352228
hemoglobina_min,glucemia_min,0.029864113504171556
gender,glucemia_min,0.029397249115850996
anchor_age,bicarbonato_min,0.028253087811347666
map_min,bicarbonato_min,0.02771514677340205
gcs_min,leucocitos_min,0.02733927921442722
hr_media,creatinina_max,-0.027154136451516733
bilirrubina_media,temp_min,-0.0269762259926802
gender,rr_max,-0.025310248276992613
pf_min,glucemia_min,-0.025139131535086456
map_min,glucemia_min,0.024914162769434225
ventilacion_invasiva_12h,bilirrubina_media,0.024475576056428416
pf_min,plaquetas_min,-0.024410925791343966
ventilacion_invasiva_12h,tp_max,-0.023970019441832035
rr_max,ph_min,-0.02392108467065612
anchor_age,pf_min,-0.02378418332912626
ventilacion_invasiva_12h,glucemia_min,0.023268229303850422
tp_max,leucocitos_min,-0.022918332664606286
fio2_max,hemoglobina_min,0.022741143806802665
peso_kg,plaquetas_min,-0.022617459300398258
gender,ventilacion_invasiva_12h,0.021768951264114392
peso_kg,lactato_max,-0.020879215703647654
tp_max,glucemia_min,0.020149128748884176
contador_estancia_uci,fio2_max,0.020067297914865372
pf_min,gpt_max,-0.019017181071498454
anchor_age,lactato_max,-0.01851222072341161
bilirrubina_media,glucemia_min,0.0183231868616504
anchor_age,contador_estancia_uci,0.018295626258250566
gpt_max,temp_min,-0.017839602088459746
rr_max,diuresis_ml_kg_12h,0.017579202953831127
gender,contador_estancia_uci,-0.017055923167314108
anchor_age,rr_max,-0.016635673689320257
contador_estancia_uci,hr_media,0.016584584834161215
diuresis_ml_kg_12h,gpt_max,-0.016436687968151217
map_min,pf_min,0.016397298460974437
spo2_min,diuresis_ml_kg_12h,0.016364481543182874
diuresis_ml_kg_12h,leucocitos_min,-0.015741044967988442
spo2_min,tp_max,-0.014724630508789815
pf_min,bilirrubina_media,0.013822934937794592
contador_estancia_uci,temp_min,-0.013708209336021656
hr_media,plaquetas_min,0.013406355131715878
rr_max,glucemia_min,0.01321101807599117
gender,spo2_min,-0.012671202105810225
plaquetas_min,glucemia_min,-0.011574234089811638
rr_max,sofa_max,0.011450827510915309
gender,ph_min,-0.010994963171635947
rr_max,gpt_max,0.010980834468926559
peso_kg,ventilacion_invasiva_12h,0.010638659036392512
gender,diuresis_ml_kg_12h,-0.00977865382005271
pf_min,hemoglobina_min,0.009262645432597173
ventilacion_invasiva_12h,creatinina_max,0.009029910940183518
map_min,rr_max,0.008478970526207776
gcs_min,hemoglobina_min,0.008400842302286627
contador_estancia_uci,ph_min,0.008158051960953715
ph_min,hemoglobina_min,0.00799125840746835
hr_media,glucemia_min,-0.0077981338992849
hr_media,hemoglobina_min,-0.007034968519507194
pf_min,temp_min,0.006753991951635096
pf_min,bicarbonato_min,0.00658335912268737
glucemia_min,temp_min,-0.006009978453533859
rr_max,hemoglobina_min,0.005646456604035779
anchor_age,sofa_max,0.004960632961193708
fio2_max,plaquetas_min,0.0036293062378889686
peso_kg,hr_media,-0.003401966082955489
map_min,plaquetas_min,0.0032320348203707283
contador_estancia_uci,glucemia_min,-0.0026039746053828964
fio2_max,ventilacion_invasiva_12h,-0.0024873069492959915
peso_kg,leucocitos_min,0.0024356119025111312
gender,bicarbonato_min,0.002008382368348723
gpt_max,leucocitos_min,-0.0013789051718488743
map_min,leucocitos_min,-0.001375394317802331
ventilacion_invasiva_12h,hemoglobina_min,-0.0003698956575679624
map_min,bilirrubina_media,0.0002540202244575069
anchor_age,fio2_max,0.00020161160729372036
anchor_age,anchor_age,
gender,anchor_age,
gender,gender,
peso_kg,anchor_age,
peso_kg,gender,
peso_kg,peso_kg,
contador_estancia_uci,anchor_age,
contador_estancia_uci,gender,
contador_estancia_uci,peso_kg,
contador_estancia_uci,contador_estancia_uci,
map_min,anchor_age,
map_min,gender,
map_min,peso_kg,
map_min,contador_estancia_uci,
map_min,map_min,
hr_media,anchor_age,
hr_media,gender,
hr_media,peso_kg,
hr_media,contador_estancia_uci,
hr_media,map_min,
hr_media,hr_media,
pf_min,anchor_age,
pf_min,gender,
pf_min,peso_kg,
pf_min,contador_estancia_uci,
pf_min,map_min,
pf_min,hr_media,
pf_min,pf_min,
spo2_min,anchor_age,
spo2_min,gender,
spo2_min,peso_kg,
spo2_min,contador_estancia_uci,
spo2_min,map_min,
spo2_min,hr_media,
spo2_min,pf_min,
spo2_min,spo2_min,
fio2_max,anchor_age,
fio2_max,gender,
fio2_max,peso_kg,
fio2_max,contador_estancia_uci,
fio2_max,map_min,
fio2_max,hr_media,
fio2_max,pf_min,
fio2_max,spo2_min,
fio2_max,fio2_max,
rr_max,anchor_age,
rr_max,gender,
rr_max,peso_kg,
rr_max,contador_estancia_uci,
rr_max,map_min,
rr_max,hr_media,
rr_max,pf_min,
rr_max,spo2_min,
rr_max,fio2_max,
rr_max,rr_max,
ventilacion_invasiva_12h,anchor_age,
ventilacion_invasiva_12h,gender,
ventilacion_invasiva_12h,peso_kg,
ventilacion_invasiva_12h,contador_estancia_uci,
ventilacion_invasiva_12h,map_min,
ventilacion_invasiva_12h,hr_media,
ventilacion_invasiva_12h,pf_min,
ventilacion_invasiva_12h,spo2_min,
ventilacion_invasiva_12h,fio2_max,
ventilacion_invasiva_12h,rr_max,
ventilacion_invasiva_12h,ventilacion_invasiva_12h,
gcs_min,anchor_age,
gcs_min,gender,
gcs_min,peso_kg,
gcs_min,contador_estancia_uci,
gcs_min,map_min,
gcs_min,hr_media,
gcs_min,pf_min,
gcs_min,spo2_min,
gcs_min,fio2_max,
gcs_min,rr_max,
gcs_min,ventilacion_invasiva_12h,
gcs_min,gcs_min,
creatinina_max,anchor_age,
creatinina_max,gender,
creatinina_max,peso_kg,
creatinina_max,contador_estancia_uci,
creatinina_max,map_min,
creatinina_max,hr_media,
creatinina_max,pf_min,
creatinina_max,spo2_min,
creatinina_max,fio2_max,
creatinina_max,rr_max,
creatinina_max,ventilacion_invasiva_12h,
creatinina_max,gcs_min,
creatinina_max,creatinina_max,
diuresis_ml_kg_12h,anchor_age,
diuresis_ml_kg_12h,gender,
diuresis_ml_kg_12h,peso_kg,
diuresis_ml_kg_12h,contador_estancia_uci,
diuresis_ml_kg_12h,map_min,
diuresis_ml_kg_12h,hr_media,
diuresis_ml_kg_12h,pf_min,
diuresis_ml_kg_12h,spo2_min,
diuresis_ml_kg_12h,fio2_max,
diuresis_ml_kg_12h,rr_max,
diuresis_ml_kg_12h,ventilacion_invasiva_12h,
diuresis_ml_kg_12h,gcs_min,
diuresis_ml_kg_12h,creatinina_max,
diuresis_ml_kg_12h,diuresis_ml_kg_12h,
lactato_max,anchor_age,
lactato_max,gender,
lactato_max,peso_kg,
lactato_max,contador_estancia_uci,
lactato_max,map_min,
lactato_max,hr_media,
lactato_max,pf_min,
lactato_max,spo2_min,
lactato_max,fio2_max,
lactato_max,rr_max,
lactato_max,ventilacion_invasiva_12h,
lactato_max,gcs_min,
lactato_max,creatinina_max,
lactato_max,diuresis_ml_kg_12h,
lactato_max,lactato_max,
ph_min,anchor_age,
ph_min,gender,
ph_min,peso_kg,
ph_min,contador_estancia_uci,
ph_min,map_min,
ph_min,hr_media,
ph_min,pf_min,
ph_min,spo2_min,
ph_min,fio2_max,
ph_min,rr_max,
ph_min,ventilacion_invasiva_12h,
ph_min,gcs_min,
ph_min,creatinina_max,
ph_min,diuresis_ml_kg_12h,
ph_min,lactato_max,
ph_min,ph_min,
bicarbonato_min,anchor_age,
bicarbonato_min,gender,
bicarbonato_min,peso_kg,
bicarbonato_min,contador_estancia_uci,
bicarbonato_min,map_min,
bicarbonato_min,hr_media,
bicarbonato_min,pf_min,
bicarbonato_min,spo2_min,
bicarbonato_min,fio2_max,
bicarbonato_min,rr_max,
bicarbonato_min,ventilacion_invasiva_12h,
bicarbonato_min,gcs_min,
bicarbonato_min,creatinina_max,
bicarbonato_min,diuresis_ml_kg_12h,
bicarbonato_min,lactato_max,
bicarbonato_min,ph_min,
bicarbonato_min,bicarbonato_min,
bilirrubina_media,anchor_age,
bilirrubina_media,gender,
bilirrubina_media,peso_kg,
bilirrubina_media,contador_estancia_uci,
bilirrubina_media,map_min,
bilirrubina_media,hr_media,
bilirrubina_media,pf_min,
bilirrubina_media,spo2_min,
bilirrubina_media,fio2_max,
bilirrubina_media,rr_max,
bilirrubina_media,ventilacion_invasiva_12h,
bilirrubina_media,gcs_min,
bilirrubina_media,creatinina_max,
bilirrubina_media,diuresis_ml_kg_12h,
bilirrubina_media,lactato_max,
bilirrubina_media,ph_min,
bilirrubina_media,bicarbonato_min,
bilirrubina_media,bilirrubina_media,
gpt_max,anchor_age,
gpt_max,gender,
gpt_max,peso_kg,
gpt_max,contador_estancia_uci,
gpt_max,map_min,
gpt_max,hr_media,
gpt_max,pf_min,
gpt_max,spo2_min,
gpt_max,fio2_max,
gpt_max,rr_max,
gpt_max,ventilacion_invasiva_12h,
gpt_max,gcs_min,
gpt_max,creatinina_max,
gpt_max,diuresis_ml_kg_12h,
gpt_max,lactato_max,
gpt_max,ph_min,
gpt_max,bicarbonato_min,
gpt_max,bilirrubina_media,
gpt_max,gpt_max,
tp_max,anchor_age,
tp_max,gender,
tp_max,peso_kg,
tp_max,contador_estancia_uci,
tp_max,map_min,
tp_max,hr_media,
tp_max,pf_min,
tp_max,spo2_min,
tp_max,fio2_max,
tp_max,rr_max,
tp_max,ventilacion_invasiva_12h,
tp_max,gcs_min,
tp_max,creatinina_max,
tp_max,diuresis_ml_kg_12h,
tp_max,lactato_max,
tp_max,ph_min,
tp_max,bicarbonato_min,
tp_max,bilirrubina_media,
tp_max,gpt_max,
tp_max,tp_max,
plaquetas_min,anchor_age,
plaquetas_min,gender,
plaquetas_min,peso_kg,
plaquetas_min,contador_estancia_uci,
plaquetas_min,map_min,
plaquetas_min,hr_media,
plaquetas_min,pf_min,
plaquetas_min,spo2_min,
plaquetas_min,fio2_max,
plaquetas_min,rr_max,
plaquetas_min,ventilacion_invasiva_12h,
plaquetas_min,gcs_min,
plaquetas_min,creatinina_max,
plaquetas_min,diuresis_ml_kg_12h,
plaquetas_min,lactato_max,
plaquetas_min,ph_min,
plaquetas_min,bicarbonato_min,
plaquetas_min,bilirrubina_media,
plaquetas_min,gpt_max,
plaquetas_min,tp_max,
plaquetas_min,plaquetas_min,
leucocitos_min,anchor_age,
leucocitos_min,gender,
leucocitos_min,peso_kg,
leucocitos_min,contador_estancia_uci,
leucocitos_min,map_min,
leucocitos_min,hr_media,
leucocitos_min,pf_min,
leucocitos_min,spo2_min,
leucocitos_min,fio2_max,
leucocitos_min,rr_max,
leucocitos_min,ventilacion_invasiva_12h,
leucocitos_min,gcs_min,
leucocitos_min,creatinina_max,
leucocitos_min,diuresis_ml_kg_12h,
leucocitos_min,lactato_max,
leucocitos_min,ph_min,
leucocitos_min,bicarbonato_min,
leucocitos_min,bilirrubina_media,
leucocitos_min,gpt_max,
leucocitos_min,tp_max,
leucocitos_min,plaquetas_min,
leucocitos_min,leucocitos_min,
hemoglobina_min,anchor_age,
hemoglobina_min,gender,
hemoglobina_min,peso_kg,
hemoglobina_min,contador_estancia_uci,
hemoglobina_min,map_min,
hemoglobina_min,hr_media,
hemoglobina_min,pf_min,
hemoglobina_min,spo2_min,
hemoglobina_min,fio2_max,
hemoglobina_min,rr_max,
hemoglobina_min,ventilacion_invasiva_12h,
hemoglobina_min,gcs_min,
hemoglobina_min,creatinina_max,
hemoglobina_min,diuresis_ml_kg_12h,
hemoglobina_min,lactato_max,
hemoglobina_min,ph_min,
hemoglobina_min,bicarbonato_min,
hemoglobina_min,bilirrubina_media,
hemoglobina_min,gpt_max,
hemoglobina_min,tp_max,
hemoglobina_min,plaquetas_min,
hemoglobina_min,leucocitos_min,
hemoglobina_min,hemoglobina_min,
glucemia_min,anchor_age,
glucemia_min,gender,
glucemia_min,peso_kg,
glucemia_min,contador_estancia_uci,
glucemia_min,map_min,
glucemia_min,hr_media,
glucemia_min,pf_min,
glucemia_min,spo2_min,
glucemia_min,fio2_max,
glucemia_min,rr_max,
glucemia_min,ventilacion_invasiva_12h,
glucemia_min,gcs_min,
glucemia_min,creatinina_max,
glucemia_min,diuresis_ml_kg_12h,
glucemia_min,lactato_max,
glucemia_min,ph_min,
glucemia_min,bicarbonato_min,
glucemia_min,bilirrubina_media,
glucemia_min,gpt_max,
glucemia_min,tp_max,
glucemia_min,plaquetas_min,
glucemia_min,leucocitos_min,
glucemia_min,hemoglobina_min,
glucemia_min,glucemia_min,
temp_min,anchor_age,
temp_min,gender,
temp_min,peso_kg,
temp_min,contador_estancia_uci,
temp_min,map_min,
temp_min,hr_media,
temp_min,pf_min,
temp_min,spo2_min,
temp_min,fio2_max,
temp_min,rr_max,
temp_min,ventilacion_invasiva_12h,
temp_min,gcs_min,
temp_min,creatinina_max,
temp_min,diuresis_ml_kg_12h,
temp_min,lactato_max,
temp_min,ph_min,
temp_min,bicarbonato_min,
temp_min,bilirrubina_media,
temp_min,gpt_max,
temp_min,tp_max,
temp_min,plaquetas_min,
temp_min,leucocitos_min,
temp_min,hemoglobina_min,
temp_min,glucemia_min,
temp_min,temp_min,
sofa_max,anchor_age,
sofa_max,gender,
sofa_max,peso_kg,
sofa_max,contador_estancia_uci,
sofa_max,map_min,
sofa_max,hr_media,
sofa_max,pf_min,
sofa_max,spo2_min,
sofa_max,fio2_max,
sofa_max,rr_max,
sofa_max,ventilacion_invasiva_12h,
sofa_max,gcs_min,
sofa_max,creatinina_max,
sofa_max,diuresis_ml_kg_12h,
sofa_max,lactato_max,
sofa_max,ph_min,
sofa_max,bicarbonato_min,
sofa_max,bilirrubina_media,
sofa_max,gpt_max,
sofa_max,tp_max,
sofa_max,plaquetas_min,
sofa_max,leucocitos_min,
sofa_max,hemoglobina_min,
sofa_max,glucemia_min,
sofa_max,temp_min,
sofa_max,sofa_max,
